"","Top Ave. (C)","Downstream Pitch Ave. (C)","Outer Ave. (C)","Lower Ave. (C)"
"3185:45:00","21.103","21.115","21.188","21.009"
"3185:45:00","21.103","21.115","21.188","21.009"
"3185:46:00","21.103","21.112","21.185","21.008"
"3185:47:00","21.103","21.112","21.182","21.008"
"3185:48:00","21.100","21.112","21.183","21.008"
"3185:49:00","21.100","21.112","21.186","21.007"
"3185:50:00","21.098","21.110","21.182","21.008"
"3185:51:00","21.099","21.109","21.176","21.003"
"3185:52:00","21.097","21.108","21.172","21.000"
"3185:53:00","21.097","21.106","21.168","20.997"
"3185:54:00","21.096","21.104","21.166","20.994"
"3185:55:00","21.094","21.103","21.167","20.992"
"3185:56:00","21.093","21.103","21.166","20.993"
"3185:57:00","21.093","21.102","21.165","20.991"
"3185:58:00","21.092","21.101","21.163","20.988"
"3185:59:00","21.093","21.102","21.163","20.991"
"3186:00:00","21.092","21.101","21.163","20.992"
"3186:01:00","21.091","21.101","21.165","20.993"
"3186:02:00","21.092","21.099","21.163","20.991"
"3186:03:00","21.091","21.100","21.163","20.995"
"3186:04:00","21.093","21.100","21.163","20.994"
"3186:05:00","21.092","21.101","21.162","20.994"
"3186:05:00","21.092","21.101","21.162","20.994"
"3186:06:00","21.091","21.101","21.165","20.996"
"3186:07:00","21.089","21.101","21.165","20.997"
"3186:08:00","21.091","21.102","21.163","20.997"
"3186:09:00","21.091","21.101","21.165","20.998"
"3186:10:00","21.091","21.101","21.168","20.998"
"3186:11:00","21.093","21.100","21.169","21.001"
"3186:12:00","21.093","21.101","21.170","20.999"
"3186:13:00","21.091","21.102","21.170","21.000"
"3186:14:00","21.092","21.101","21.171","21.001"
"3186:15:00","21.092","21.102","21.173","21.001"
"3186:16:00","21.090","21.101","21.171","21.000"
"3186:17:00","21.094","21.099","21.171","21.000"
"3186:18:00","21.094","21.102","21.174","21.001"
"3186:19:00","21.093","21.103","21.176","21.000"
"3186:20:00","21.095","21.101","21.176","21.000"
"3186:21:00","21.096","21.104","21.178","21.002"
"3186:22:00","21.096","21.103","21.179","21.004"
